TIME;;2019-01;;2019-02;;2019-03;;2019-04;;2019-05;;2019-06;;2019-07;;2019-08;;2019-09;;2019-10;;2019-11;;2019-12;;2020-01;;2020-02;;2020-03;;2020-04;;2020-05;;2020-06;;2020-07;;2020-08;;2020-09;;2020-10;;2020-11;;2020-12;;2021-01;;2021-02;;2021-03;;2021-04;;2021-05;;2021-06;;2021-07;;2021-08;;2021-09;;2021-10;;2021-11;;2021-12;;2022-01;;2022-02;;2022-03;;2022-04;;2022-05;;2022-06;;2022-07;;2022-08;;2022-09;;2022-10;;2022-11;;2022-12
France;;11 288 842;;10 841 407;;12 958 261;;14 899 482;;14 712 039;;16 009 238;;17 392 265;;17 401 239;;15 342 950;;14 704 242;;11 730 495;;12 138 720;;11 666 073;;11 170 697;;5 423 661;;142 928;;233 772;;902 491;;4 055 133;;5 762 585;;3 835 064;;3 470 259;;1 363 915;;2 916 755;;2 830 366;;1 726 461;;1 808 945;;1 777 974;;2 840 195;;4 652 188;;8 638 775;;9 999 344;;7 998 961;;8 523 796;;7 824 247;;7 680 384;;5 680 879;;6 923 232;;8 988 620;;11 165 784;;12 716 411;;13 231 683;;15 049 379;;15 252 773;;13 088 675;;13 165 510;;10 326 170;;11 421 614
Croatia;;230 838;;226 029;;310 732;;707 696;;1 054 244;;1 471 185;;1 874 185;;1 844 790;;1 412 868;;959 274;;319 123;;276 267;;235 069;;226 755;;120 243;;4 796;;15 558;;69 301;;343 556;;558 786;;196 624;;95 714;;46 380;;45 573;;40 954;;33 120;;47 283;;66 079;;110 020;;300 130;;856 675;;1 214 094;;883 996;;542 845;;185 258;;197 705;;153 652;;160 632;;238 440;;558 560;;833 913;;1 249 583;;1 729 226;;1 733 152;;1 339 442;;884 866;;297 001;;279 195
Italy;;9 851 565;;9 497 184;;11 557 352;;13 537 415;;14 392 826;;15 815 459;;17 223 461;;17 461 666;;15 969 139;;14 258 540;;10 834 058;;10 992 188;;10 281 028;;9 151 396;;1 722 238;;86 770;;145 533;;724 195;;3 731 945;;5 518 741;;4 129 290;;2 971 716;;968 033;;1 251 895;;1 112 104;;961 752;;1 103 216;;1 398 865;;2 096 365;;4 601 539;;8 233 375;;9 863 552;;8 757 956;;8 359 444;;6 974 083;;6 580 270;;4 569 984;;5 520 198;;7 745 971;;10 931 952;;12 384 991;;13 954 911;;15 357 951;;15 662 104;;14 688 882;;13 178 444;;9 397 921;;9 761 667
Cyprus;;434 142;;421 614;;577 399;;875 695;;1 138 981;;1 307 755;;1 448 876;;1 498 614;;1 339 773;;1 206 160;;636 222;;526 899;;470 382;;457 795;;235 123;;6 132;;9 704;;40 597;;197 481;;295 796;;244 452;;245 685;;63 632;;61 044;;43 552;;31 929;;45 452;;107 092;;248 883;;439 988;;725 129;;869 030;;825 673;;956 824;;488 508;;345 662;;229 263;;241 741;;401 764;;740 411;;890 594;;1 016 440;;1 195 337;;1 268 129;;1 123 159;;1 111 049;;584 028;;528 312
Latvia;;466 668;;430 539;;531 178;;645 712;;714 938;;762 948;;832 843;;830 945;;735 283;;704 569;;549 714;;581 232;;524 272;;489 197;;234 485;;2 954;;9 981;;54 150;;184 084;;188 571;;112 546;;89 462;;49 517;;56 240;;48 049;;23 192;;31 995;;54 098;;84 052;;155 968;;294 968;;388 790;;332 606;;350 137;;270 740;;301 671;;245 616;;225 641;;304 097;;418 454;;472 496;;547 774;;605 532;;572 799;;533 801;;552 140;;433 635;;457 666
Lithuania;;444 495;;412 119;;467 001;;540 516;;621 474;;605 332;;595 874;;622 627;;603 752;;623 296;;496 781;;476 612;;455 418;;446 988;;203 200;;1 659;;4 987;;43 121;;167 927;;212 808;;100 409;;77 302;;43 670;;51 617;;53 402;;38 248;;57 105;;74 155;;87 456;;169 613;;322 794;;371 154;;325 321;;367 503;;307 782;;294 721;;249 174;;253 653;;311 347;;445 766;;526 583;;558 966;;575 173;;571 056;;531 049;;547 361;;391 068;;374 583
Luxembourg;;258 957;;267 687;;320 896;;384 281;;393 188;;407 702;;424 944;;420 265;;415 421;;403 270;;331 381;;337 577;;289 001;;295 954;;128 453;;26;;1 808;;35 431;;131 572;;179 683;;129 455;;101 783;;54 385;;78 632;;60 694;;35 916;;43 949;;83 046;;113 698;;148 716;;235 342;;292 825;;264 853;;272 249;;227 867;;224 208;;147 270;;192 952;;241 861;;346 651;;386 571;;407 052;;434 592;;446 792;;420 012;;397 250;;312 265;;323 858
Hungary;;1 035 335;;1 000 297;;1 208 581;;1 384 025;;1 462 321;;1 528 267;;1 666 383;;1 678 314;;1 568 823;;1 524 897;;1 313 001;;1 360 250;;1 205 318;;1 145 372;;509 212;;9 483;;22 587;;86 117;;312 803;;403 995;;89 725;;62 451;;49 128;;69 252;;66 960;;53 543;;61 791;;63 880;;86 424;;266 398;;545 182;;714 335;;649 012;;722 620;;728 700;;710 523;;570 073;;625 320;;801 321;;1 013 690;;1 113 840;;1 229 795;;1 327 052;;1 332 104;;1 208 295;;1 179 923;;980 067;;1 015 276
Malta;;366 016;;359 555;;477 533;;653 179;;675 499;;723 180;;800 221;;824 393;;763 013;;704 147;;493 727;;477 894;;418 579;;422 129;;169 584;;2 355;;3 220;;3 447;;153 604;;252 693;;128 989;;110 749;;40 207;;46 889;;39 758;;28 134;;32 754;;40 172;;76 493;;191 668;;312 928;;408 350;;419 511;;429 322;;317 308;;255 575;;160 075;;197 930;;317 646;;515 210;;556 029;;605 094;;690 547;;713 312;;659 751;;591 424;;435 259;;422 461
Netherlands;;5 515 472;;5 369 894;;6 289 695;;6 936 500;;7 405 455;;7 478 252;;7 735 740;;7 865 280;;7 492 093;;7 358 160;;5 887 199;;5 940 541;;5 597 337;;5 283 174;;2 775 324;;135 581;;221 334;;527 671;;1 695 292;;2 245 770;;1 548 938;;1 303 912;;965 556;;1 306 899;;910 200;;520 094;;677 493;;818 619;;1 171 068;;1 872 204;;3 520 191;;4 484 321;;4 018 811;;4 400 983;;3 494 713;;3 210 139;;2 833 086;;3 041 489;;4 243 295;;5 143 625;;6 101 131;;6 126 760;;6 220 590;;6 387 451;;6 119 717;;5 862 731;;4 571 918;;4 681 991
